episode_uid,platform,delivery_mechanism,url,platform_title,platform_description,published_at,published_at_raw,view_count,is_published,downstream_platforms,source,confidence,needs_human
S02E001,youtube,direct_upload,https://www.youtube.com/watch?v=Dch_9BnjSHo,Genesis Science Report | Dragon Tales + Gene Splicing S2 Ep1,"GSR IS Back!!!! 

Finally, you can get the truth you’ve been waiting for with a relevant, Christian perspective.

During these weekly news broadcasts, David presents a thought-provoking opening monologue detailing breaking news in science and social issues and is also joined by a friend and colleague to shed light on truths related to the validity of the Word of God, and new scientific discoveries.

SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ

Consider a tax-deductible donation to help us continue to make these videos each week:
https://davidrivesministries.org/contributions/

If you are interested in arranging interviews with David Rives, and/or appearances, Contact:
booking@davidrives.com or call (931)212-7990

David Rives has committed his life and ministry to the study of how God’s word and our world
connect. David believes that science not on proves the Bible, but that it also brings us into a
deeper relationship with our Creator. Join us at David Rives Ministries as we dive into
conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood,
Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!

#DavidRives #dinosaurs  #geneediting",2024-11-18,20241118,70215,true,[],youtube,medium,false
S02E004,youtube,direct_upload,https://www.youtube.com/watch?v=vK2sVLaVDho,Gene Duplication Theory + Living Fossil Revelations | Genesis Science Report S02 EP004,"Join The Genesis Science Report as David Rives and his guests critically examine mainstream science through a biblical lens. Explore the flaws in evolutionary claims like gene duplication and ancient timelines, question academic biases, and uncover the truth about ""living fossils."" From volcanic moons to genetic origins, this episode challenges the status quo while pointing to the undeniable evidence of creation. Engage your curiosity, embrace skepticism, and discover how science confirms the timeless truths of Scripture!

Chapters: 
0:00: Introduction
0:38: Orwell's Warning: Exposing Layers of Deceit in Modern Academia
9:43: Genesis Science Q&A - Are Adam and Eve our Sole Genetic Ancestors?
12:32: Featured Resource - More on Genetics and Human History
16:28: Viewer Voices
23:46: Exploring the Dawn of Complex Life with Dr. Jerry Bergman
33:16: Kids Corner - Exploring Trilobites
35:01: From Moral relativism to Moral Decay: How ""Anything Goes"" Becomes ""Nothing Matters.""
43:46: Living Fossils - Evidence Against Evolution or Coincidence? with Dr Carl Werner
51:36: Exploring IO: Jupiter's Most Fascinating Moon with David Coppedge, Former Systems Lead, NASA's JPL
57:13: Closing Remarks by David Rives

SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ

Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/contributions/

If you are interested in arranging interviews with David Rives, and/or appearances, Contact: booking@davidrives.com or call (931)212-7990

David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!

#DavidRives #moraldecay #humangenetics",2024-12-09,20241209,66817,true,[],youtube,medium,false
S02E006,youtube,direct_upload,https://www.youtube.com/watch?v=fYSHeVisOnw,Kangaroos After the Flood + Fossil Bats | Genesis Science Report with David Rives | S02 Ep006,"Join David Rives on this episode of The Genesis Science Report as we dive into his thoughts on the legacy of Eugenics, groundbreaking paleontological discoveries and their connections to Scripture, and more. Dr. Carl Werner discusses 'living fossils,' like modern-looking ants found alongside dinosaurs, while John Mackay analyzes exceptionally preserved bat fossils from Wyoming, revealing insights into ancient ecosystems. Plus, David answers a viewer's question about post-Flood animal migration, highlights a resource on the geological impacts of the Flood, and explores the wonders of pyrite in our Kids' Corner. Don't miss this fascinating journey into science, faith, and the marvels of God's creation!

0:00: Opening Thoughts
0:31: David's Thoughts: The Legacy of Eugenics
9:52: Q&A: How Did Animals Spread Post-Flood?
14:14: Kids' Science Corner: The Truth About Fool's Gold
19:19: Living Fossils with Dr. Carl Werner
32:00: Viewer Voices
34:09: Genesis Science Minute: Herschel's Heavenly Discoveries
35:12: Ministry Update: Sharing God's Wonders
37:14: Heavens Declare: Darwin's Finches - Design or Evolution?
42:56: Fossil BATS Challenge Evolution with John Mackay
57:08: Closing Remarks

SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ

Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/contributions/

If you are interested in arranging interviews with David Rives, and/or appearances, Contact: booking@davidrives.com or call (931)212-7990

David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!

#DavidRives #livingfossils  #ancientecosystems",2024-12-23,20241223,51343,true,[],youtube,medium,false
S02E007,youtube,direct_upload,https://www.youtube.com/watch?v=8CB5nAfY33U,Flood Legends + Flying Lizards | Genesis Science Report with David Rives | S02 Ep007,"Join David Rives on this episode of the Genesis Science Report as we examine groundbreaking claims about dinosaur footprints spanning continents and their implications for a biblical worldview. We welcome meteorologist and creation science expert Michael Oard to analyze whether these findings align with a global Flood model.

Later, geologist Dr. Andrew Snelling discusses the Cambrian Explosion and what recent fossil discoveries in China reveal about Earth's history from a creationist perspective. From the evidence of rapid burial to the global distribution of fossils, we uncover insights into the geologic record that challenge evolutionary assumptions.

This episode is packed with scientific exploration and faith-based insights that you won’t want to miss! Stay tuned and discover how the heavens truly declare the glory of God.

Chapters:
0:00 Beginning of Episode
0:53 David's Thoughts: Global Flood Myths
8:31 Ad Break
11:27 Q&A: Natural Selection
16:36 Kids Corner: Flying Lizard Facts
19:08 Ad Break
22:07 Dinosaur Tracks: one-on-one with Michael Oard
35:22 Ad Break
37:41 Viewer Voices
38:52 Genesis Science Minute: The Arctic Tern's Journey
40:06 Ministry Update: Wonders Center
41:11 The Heavens Declare: Rapid Coal Formation
45:40 Ad Break
48:22 Cambrian Explosion: Dr Andrew Snelling
57:06 Final Thoughts and Encouragement

SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ

Consider a tax-deductible donation to help us continue to make these videos each week:
https://davidrivesministries.org/contributions/

If you are interested in arranging interviews with David Rives, and/or appearances, Contact:
booking@davidrives.com or call (931)212-7990

David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into
conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood,
Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!

#DavidRives #dinosaurfossils  #cambrian",2025-01-06,20250106,71454,true,[],youtube,medium,false
S02E008,youtube,direct_upload,https://www.youtube.com/watch?v=wL6eazHQx0c,Tuskless Elephants Evidence for the Bible? S2 EP 08 l David Rives on Genesis Science Report,"In this episode of the Genesis Science Report, join David Rives as he explores the intersection of science and politics, uncovering truths about biased policies and their impact on scientific integrity. Dive into a thought-provoking discussion with Dr. Randy Guliuzza about elephants in Africa—are tuskless elephants evolving, or evidence for the Bible? Then, journey into geology with Dr. Tim Clarey as he sheds light on groundbreaking findings about banded iron formations, challenging conventional timelines.

Discover the wonders of quartz crystals in Kids Corner, hear inspiring testimonials, and reflect on the beauty of creation through the lens of biblical truth. Don’t miss this week’s Genesis Science Minute, unraveling the mystery of soft tissue in dinosaur fossils, and a special segment on the iconic Stonehenge in “The Heavens Declare.”

Chapters: 
0:00:  Opening Words
0:45: David's Thoughts - Truth and Politics
7:31: Ad Break
10:25: Q&A - Creation Question
14:58: Kid's Corner - Crystal Wonders
17:51: Ad Break
20:15: Dr. Randy Guliuzza - Tuskless Elephants
32:09: Ad Break
34:35: Viewer Voices
36:30: Genesis Science Minute: Soft Tissue Fossils
37:45: Ministry Update - Community Impact
39:30: The Heavens Declare - Stonehenge Secrets
43:15: Ad Break
45:56: Dr. Tim Clarey - Iron Formation Insights

SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ

Consider a tax-deductible donation to help us continue to make these videos each week:
https://davidrivesministries.org/contributions/

If you are interested in arranging interviews with David Rives, and/or appearances, Contact:
booking@davidrives.com or call (931)212-7990

David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into
conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood,
Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!

#DavidRives #elephants  #iron",2025-01-13,20250113,718,false,[],youtube,medium,true
S02E008,youtube,direct_upload,https://www.youtube.com/watch?v=uyQGwfx7fb0,Tuskless Elephants Evidence for Evolution? | S2. Ep. 08 Genesis Science Report with David Rives,"In this episode of the Genesis Science Report, join David Rives as he explores the intersection of science and politics, uncovering truths about biased policies and their impact on scientific integrity. Dive into a thought-provoking discussion with Dr. Randy Guliuzza about elephants in Africa—are tuskless elephants evolving, or evidence for the Bible? Then, journey into geology with Dr. Tim Clarey as he sheds light on groundbreaking findings about banded iron formations, challenging conventional timelines.

Discover the wonders of quartz crystals in Kids Corner, hear inspiring testimonials, and reflect on the beauty of creation through the lens of biblical truth. Don’t miss this week’s Genesis Science Minute, unraveling the mystery of soft tissue in dinosaur fossils, and a special segment on the iconic Stonehenge in “The Heavens Declare.”

Chapters: 
0:00:  Opening Words
0:45: David's Thoughts - Truth and Politics
7:31: Ad Break
10:25: Q&A - Creation Question
14:58: Kid's Corner - Crystal Wonders
17:51: Ad Break
20:15: Dr. Randy Guliuzza - Tuskless Elephants
32:09: Ad Break
34:35: Viewer Voices
36:30: Genesis Science Minute: Soft Tissue Fossils
37:45: Ministry Update - Community Impact
39:30: The Heavens Declare - Stonehenge Secrets
43:15: Ad Break
45:56: Dr. Tim Clarey - Iron Formation Insights

SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ

Consider a tax-deductible donation to help us continue to make these videos each week:
https://davidrivesministries.org/contributions/

If you are interested in arranging interviews with David Rives, and/or appearances, Contact:
booking@davidrives.com or call (931)212-7990

David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into
conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood,
Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!

#DavidRives #elephants  #iron",2025-02-10,20250210,14008,true,[],youtube,medium,true
S02E009,youtube,direct_upload,https://www.youtube.com/watch?v=hlZ9PB_iKAk,Big Bang Busted!? l Genesis Science Report with David Rives l S02 Ep009,"In this episode of the Genesis Science Report, David Rives explores the intricate design behind flight mechanics in birds, insects, and bats with insights from Professor Andy McIntosh. Delve into the groundbreaking discoveries that highlight universal patterns and challenge conventional models of evolution.

Astrophysicist David Coppedge joins the discussion to present new evidence about the shocking age of Saturn's rings, raising questions about the assumptions of traditional planetary science. Plus, discover how Jupiter's heat output supports a recent creation model in the Genesis Q&A segment.

From space exploration to the natural world, this episode demonstrates how science and faith converge to reveal the handiwork of an intelligent Creator. Stay tuned for expert interviews, thought-provoking discussions, and engaging viewer questions.

Chapters:
0:00 - Opening
0:51 -  David's Thoughts: NASA and Faith
6:16 - Ad Break
8:13 - Q&A: Jupiter's Heat
12:16 - Kids Corner: Spider Spotlight
15:32 - Ad Break
18:18 - Dr. Andy McIntosh: Flight Design
29:03 - Ad Break
31:23 - Viewer Voices
32:59 - Science Minute: DNA Design
34:11 - Ministry Update
36:55 - The Heavens Declare: Monkey Marvels
42:49 - Ad Break
45:14 - Dr. David Coppedge: Saturn's Rings
57:07 - Closing

SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ

Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/contributions/

If you are interested in arranging interviews with David Rives, and/or appearances, Contact: booking@davidrives.com or call (931)212-7990

David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not only proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!

#DavidRives #flightmechanics  #saturnrings",2025-01-20,20250120,60160,true,[],youtube,medium,false
S02E010,youtube,direct_upload,https://www.youtube.com/watch?v=ls90esOY-Vg,Creation Secrets Buried in the Earth | Genesis Science Report with David Rives | S02 Ep. 10,"In this episode of the Genesis Science Report, David Rives explores ancient stone structures like the Menga Dolmen, revealing advanced engineering that defies evolutionary assumptions.

Dr. Carl Werner exposes misrepresentations of Homo erectus, while Joseph Hubbard discusses rapid fossilization in the Wessex Formation and evidence for a global flood.

Joseph Hubbard talks with David about an exciting Ankylosaurus discovery in England.

Plus, learn about dragonfly design in the Kids' Corner segment and the incredible echolocation abilities of bats and dolphins in this week's The Heavens Declare segment.

Don’t miss this fascinating look at science and faith!

SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ

Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/contributions/

If you are interested in arranging interviews with David Rives, and/or appearances, Contact: booking@davidrives.com or call (931)212-7990

David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!

#DavidRives #engineering #fossils",2025-01-27,20250127,50081,true,[],youtube,medium,false
S02E011,youtube,direct_upload,https://www.youtube.com/watch?v=mvTGTxiqrck,The Global Flood & Modern Science | Genesis Science Report with David Rives | S02 Ep. 11,"In this episode of the Genesis Science Report, David Rives takes a deep dive into the global flood narrative, exploring its significance in both Scripture and history. He examines how the ancient accounts of a worldwide deluge are echoed across cultures and provides compelling evidence that supports its historical reality.

Biology expert Dr. Carl Werner joins the discussion to reflect on a milestone paleontological discovery that has influenced scientific thought for over fifty years. Dr. Jerry Bergman breaks down a new study on lampreys and their potential role in challenging traditional evolutionary models.

From the Genesis Flood to groundbreaking research in biology, this episode showcases how science and faith come together to point to the handiwork of an intelligent Creator. Stay tuned for expert insights, thought-provoking discussions, and engaging viewer questions.


Chapters:
0:00 - Opening
0:50 - Genesis Flood Overview
7:50 - Ad Break 
10:26 - Q&A
13:26 - Featured Resource
14:42 - Kids' Corner: Where Does That Flavor Come From?
17:30 - Ad Break
19:48 - Dr. Carl Werner: Lucy's Legacy
33:26 Ad Break 
35:41 - Viewer Voices
37:27 - Science Minute
38:40 - Ministry Update: 
41:22 - The Heavens Declare: Guardian of the Savannah
45:34 - Ad Break
47:47 - Dr. Jerry Bergman: Lampreys Under the Microscope
56:51 - Closing

SUBSCRIBE: https://www.youtube.com/channel/UCNZS...

Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/cont...

If you are interested in arranging interviews with David Rives, and/or appearances, Contact: booking@davidrives.com or call (931)212-7990

David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not only proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!

#DavidRives #GlobalFlood #Lampreys",2025-02-03,20250203,54027,true,[],youtube,medium,false
S02E012,youtube,direct_upload,https://www.youtube.com/watch?v=0sM2TV86A5Y,Giant Birds and Extraterrestrial Life | Genesis Science Report with David Rives | S02 Ep. 12,"In this episode of the Genesis Science Report, David Rives takes on some fascinating world topics and shares the science behind it all. He examines AI, the flat earth debate and interviews some knowledgeable guests. 

Biology expert Dr. Brian Thomas joins the discussion to share possible evidence of the worlds largest terror birds. Dr. John Hartnett breaks down the scientific evidence behind life in space and why we're so adamant about searching for it.

From conversation about AI to the biblical perspective on some of these technological advancements, this episode of Genesis Science Report has it all. 


SUBSCRIBE: https://www.youtube.com/channel/UCNZS...

Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/cont...

If you are interested in arranging interviews with David Rives, and/or appearances, Contact: booking@davidrives.com or call (931)212-7990

David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not only proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!

#DavidRives #TerrorBirds #Aliens",2025-02-10,20250210,138944,true,[],youtube,medium,false
